Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-209,3,1882,1882,1991,1,109,108,0
Process-210,4,1010,1010,1061,8,51,43,0
Process-211,4,1084,1084,1161,9,77,68,0
Process-212,2,1654,1654,1677,10,23,13,0
Process-213,1,1135,1135,1209,8,74,66,0
Process-214,1,4129,4129,4148,8,19,11,0
Process-215,5,5130,5130,5185,6,55,49,0
Process-216,4,3935,3935,3962,9,27,18,0
Process-217,3,2988,2988,3008,9,20,11,0
Process-218,3,3941,3941,3981,9,40,31,0
Process-219,2,1504,1504,1555,7,51,44,0
Process-220,3,3454,3454,3552,2,98,96,0
Process-221,1,1849,1849,1962,4,113,109,0
Process-222,5,4823,4823,4907,2,84,82,0
Process-223,3,2768,2768,2801,8,33,25,0
Process-224,3,4118,4118,4140,1,22,21,0
Process-225,1,2549,2549,2560,6,11,5,0
Process-226,5,795,795,848,9,53,44,0
Process-227,1,753,753,778,4,25,21,0
Process-228,1,3562,3562,3619,1,57,56,0
Process-229,4,2611,2611,2625,2,14,12,0
Process-230,5,4881,4881,4974,8,93,85,0
Process-231,4,5466,5466,5483,5,17,12,0
Process-232,3,3004,3004,3030,10,26,16,0
Process-233,1,1799,1799,1887,10,88,78,0
Process-234,3,1005,1005,1034,9,29,20,0
Process-235,2,4410,4410,4490,3,80,77,0
Process-236,1,3919,3919,3925,4,6,2,0
Process-237,3,2048,2048,2115,8,67,59,0
Process-238,2,3354,3354,3401,7,47,40,0
Process-239,2,84,84,119,5,35,30,0
Process-240,4,2704,2704,2736,3,32,29,0
Process-241,4,1701,1701,1752,6,51,45,0
Process-242,5,3574,3574,3627,8,53,45,0
Process-243,3,1532,1532,1590,4,58,54,0
Process-244,5,4096,4096,4119,3,23,20,0
Process-245,4,1259,1259,1377,8,118,110,0
Process-246,2,4966,4966,5030,1,64,63,0
Process-247,3,5146,5146,5223,4,77,73,0
Process-248,2,5478,5478,5508,10,30,20,0
Process-249,1,4670,4670,4787,9,117,108,0
Process-250,4,1351,1351,1451,3,100,97,0
Process-251,2,3322,3322,3367,2,45,43,0
Process-252,2,2916,2916,2917,1,1,0,0
Process-253,5,3863,3863,3864,1,1,0,0
Process-254,4,1506,1506,1578,9,72,63,0
Process-255,2,2387,2387,2395,8,8,0,0
Process-256,5,4760,4760,4858,8,98,90,0
Process-257,4,288,288,363,2,75,73,0
Process-258,2,4993,4993,5056,10,63,53,0
Process-259,2,2451,2451,2456,5,5,0,0
Process-260,5,2416,2416,2430,5,14,9,0
Process-261,3,63,63,76,9,13,4,0
Process-262,1,2417,2417,2437,7,20,13,0
Process-263,5,2508,2508,2524,7,16,9,0
Process-264,3,4275,4275,4311,4,36,32,0
Process-265,4,4156,4156,4184,9,28,19,0
Process-266,3,624,624,651,1,27,26,0
Process-267,3,1216,1216,1322,6,106,100,0
Process-268,3,4818,4818,4904,3,86,83,0
Process-269,5,124,124,175,8,51,43,0
Process-270,2,5479,5479,5509,1,30,29,0
Process-271,3,3937,3937,3972,10,35,25,0
Process-272,4,5479,5479,5510,1,31,30,0
Process-273,2,3300,3300,3340,3,40,37,0
Process-274,1,4282,4282,4318,3,36,33,0
Process-275,4,1375,1375,1466,3,91,88,0
Process-276,3,4903,4903,5000,9,97,88,0
Process-277,1,1888,1888,1997,6,109,103,0
Process-278,5,5289,5289,5341,2,52,50,0
Process-279,4,1930,1930,2025,3,95,92,0
Process-280,2,3085,3085,3161,2,76,74,0
Process-281,4,3971,3971,4017,2,46,44,0
Process-282,4,2620,2620,2640,10,20,10,0
Process-283,5,384,384,436,5,52,47,0
Process-284,5,4478,4478,4593,7,115,108,0
Process-285,4,686,686,705,8,19,11,0
Process-286,1,2803,2803,2826,2,23,21,0
Process-287,5,5286,5286,5327,8,41,33,0
Process-288,2,4236,4236,4259,2,23,21,0
Process-289,2,1639,1639,1660,2,21,19,0
Process-290,5,3384,3384,3431,5,47,42,0
Process-291,5,824,824,865,5,41,36,0
Process-292,3,1971,1971,2050,2,79,77,0
Process-293,4,527,527,567,3,40,37,0
Process-294,4,3334,3334,3392,10,58,48,0
Process-295,2,4274,4274,4298,5,24,19,0
Process-296,3,1271,1271,1396,7,125,118,0
Process-297,3,1902,1902,2004,3,102,99,0
Process-298,3,1108,1108,1173,1,65,64,0
Process-299,4,3062,3062,3142,6,80,74,0
Process-300,1,2245,2245,2246,1,1,0,0
Process-301,5,406,406,447,6,41,35,0
Process-302,1,4909,4909,5002,2,93,91,0
Process-303,2,1422,1422,1501,1,79,78,0
Process-304,4,4641,4641,4754,10,113,103,0
Process-305,4,1797,1797,1877,4,80,76,0
Process-306,4,16,16,25,3,9,6,0
Process-307,1,1838,1838,1940,4,102,98,0
Process-308,5,673,673,687,8,14,6,0
Process-309,4,3357,3357,3413,3,56,53,0
Process-310,5,2176,2176,2202,4,26,22,0
Process-311,5,1672,1672,1700,9,28,19,0
Process-312,5,5366,5366,5408,2,42,40,0
Process-313,5,5481,5481,5514,1,33,32,0
Process-314,1,3586,3586,3630,3,44,41,0
Process-315,5,3552,3552,3618,10,66,56,0
Process-316,4,3666,3666,3679,6,13,7,0
Process-317,3,3108,3108,3183,9,75,66,0
Process-318,5,2191,2191,2215,7,24,17,0
Process-319,5,3278,3278,3323,6,45,39,0
Process-320,1,1271,1271,1389,6,118,112,0
Process-321,1,4623,4623,4744,7,121,114,0
Process-322,3,1990,1990,2068,10,78,68,0
Process-323,2,2324,2324,2330,6,6,0,0
Process-324,2,345,345,417,9,72,63,0
Process-325,1,2348,2348,2366,9,18,9,0
Process-326,2,5000,5000,5062,6,62,56,0
Process-327,5,150,150,185,1,35,34,0
Process-328,4,1789,1789,1868,4,79,75,0
Process-329,4,4889,4889,4979,5,90,85,0
Process-330,4,4940,4940,5008,5,68,63,0
Process-331,3,2730,2730,2772,7,42,35,0
Process-332,4,104,104,142,10,38,28,0
Process-333,1,4228,4228,4249,3,21,18,0
Process-334,2,473,473,517,5,44,39,0
Process-335,2,3962,3962,4009,3,47,44,0
Process-336,2,2646,2646,2687,6,41,35,0
Process-337,1,4142,4142,4165,8,23,15,0
Process-338,1,3155,3155,3223,2,68,66,0
Process-339,2,4222,4222,4240,4,18,14,0
Process-340,2,2583,2583,2594,2,11,9,0
Process-341,2,5042,5042,5121,5,79,74,0
Process-342,5,2531,2531,2542,8,11,3,0
Process-343,3,5288,5288,5332,5,44,39,0
Process-344,3,1157,1157,1226,3,69,66,0
Process-345,1,1552,1552,1603,2,51,49,0
Process-346,4,2494,2494,2511,9,17,8,0
Process-347,5,3268,3268,3317,1,49,48,0
Process-348,5,4595,4595,4705,9,110,101,0
Process-349,2,3007,3007,3043,8,36,28,0
Process-350,2,2284,2284,2292,8,8,0,0
Process-351,2,2371,2371,2385,6,14,8,0
Process-352,1,105,105,149,7,44,37,0
Process-353,1,4500,4500,4624,4,124,120,0
Process-354,1,5062,5062,5138,1,76,75,0
Process-355,2,455,455,508,7,53,46,0
Process-356,4,2453,2453,2464,8,11,3,0
Process-357,5,5052,5052,5137,10,85,75,0
Process-358,5,4420,4420,4514,1,94,93,0
Process-359,2,1487,1487,1524,3,37,34,0
Process-360,2,980,980,1004,7,24,17,0
Process-361,5,1828,1828,1917,10,89,79,0
Process-362,5,1136,1136,1216,7,80,73,0
Process-363,2,1276,1276,1400,4,124,120,0
Process-364,3,5323,5323,5382,1,59,58,0
Process-365,2,2632,2632,2664,9,32,23,0
Process-366,5,2990,2990,3011,3,21,18,0
Process-367,1,1812,1812,1898,1,86,85,0
Process-368,5,133,133,179,4,46,42,0
Process-369,2,5012,5012,5072,8,60,52,0
Process-370,2,1401,1401,1483,2,82,80,0
Process-371,3,3356,3356,3410,9,54,45,0
Process-372,5,2294,2294,2324,10,30,20,0
Process-373,3,2589,2589,2602,8,13,5,0
Process-374,2,2973,2973,2986,7,13,6,0
Process-375,3,2595,2595,2615,3,20,17,0
Process-376,4,976,976,989,2,13,11,0
Process-377,1,4793,4793,4900,9,107,98,0
Process-378,3,1190,1190,1264,5,74,69,0
Process-379,2,2022,2022,2089,10,67,57,0
Process-380,3,3418,3418,3512,7,94,87,0
Process-381,4,5027,5027,5100,9,73,64,0
Process-382,1,4360,4360,4421,8,61,53,0
Process-383,2,4233,4233,4254,5,21,16,0
Process-384,2,240,240,317,4,77,73,0
Process-385,4,2111,2111,2175,7,64,57,0
Process-386,1,5066,5066,5146,8,80,72,0
Process-387,2,5037,5037,5116,6,79,73,0
Process-388,3,2294,2294,2314,6,20,14,0
Process-389,3,1197,1197,1281,10,84,74,0
Process-390,2,3826,3826,3846,3,20,17,0
Process-391,3,1756,1756,1835,9,79,70,0
