Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-209,5,3651,3651,3867,6,216,210,0
Process-210,5,674,674,732,10,58,48,0
Process-211,1,3793,3793,4058,8,265,257,0
Process-212,4,4626,4626,4646,4,20,16,0
Process-213,4,3453,3453,3566,4,113,109,0
Process-214,2,4346,4346,4413,6,67,61,0
Process-215,5,1406,1406,1504,7,98,91,0
Process-216,5,1596,1596,1642,3,46,43,0
Process-217,5,115,115,163,7,48,41,0
Process-218,3,984,984,1102,8,118,110,0
Process-219,1,2138,2138,2349,9,211,202,0
Process-220,2,1203,1203,1260,8,57,49,0
Process-221,3,1823,1823,1906,3,83,80,0
Process-222,5,5369,5369,5429,10,60,50,0
Process-223,2,1368,1368,1429,8,61,53,0
Process-224,5,556,556,616,10,60,50,0
Process-225,2,1679,1679,1826,6,147,141,0
Process-226,4,5179,5179,5215,5,36,31,0
Process-227,4,4774,4774,4782,2,8,6,0
Process-228,1,5436,5436,5444,1,8,7,0
Process-229,2,4969,4969,5030,7,61,54,0
Process-230,1,3329,3329,3534,7,205,198,0
Process-231,2,3273,3273,3390,4,117,113,0
Process-232,1,1194,1194,1280,10,86,76,0
Process-233,3,680,680,693,3,13,10,0
Process-234,1,214,214,261,6,47,41,0
Process-235,2,4185,4185,4287,4,102,98,0
Process-236,1,4874,4874,4876,1,2,1,0
Process-237,5,1593,1593,1721,7,128,121,0
Process-238,1,4274,4274,4331,4,57,53,0
Process-239,4,204,204,215,1,11,10,0
Process-240,2,3785,3785,4117,10,332,322,0
Process-241,3,5091,5091,5147,7,56,49,0
Process-242,5,2739,2739,2801,2,62,60,0
Process-243,2,4896,4896,4940,6,44,38,0
Process-244,1,429,429,440,1,11,10,0
Process-245,4,1066,1066,1154,10,88,78,0
Process-246,2,2804,2804,3050,10,246,236,0
Process-247,3,1165,1165,1247,10,82,72,0
Process-248,3,2581,2581,2633,2,52,50,0
Process-249,1,5449,5449,5483,8,34,26,0
Process-250,2,3237,3237,3301,2,64,62,0
Process-251,1,1549,1549,1685,8,136,128,0
Process-252,4,3921,3921,4174,9,253,244,0
Process-253,4,2923,2923,3073,6,150,144,0
Process-254,3,1196,1196,1237,4,41,37,0
Process-255,2,3050,3050,3151,4,101,97,0
Process-256,2,3612,3612,3699,3,87,84,0
Process-257,4,944,944,1082,10,138,128,0
Process-258,1,5463,5463,5475,2,12,10,0
Process-259,1,3391,3391,3512,4,121,117,0
Process-260,4,325,325,359,4,34,30,0
Process-261,3,5221,5221,5239,2,18,16,0
Process-262,2,1781,1781,1953,6,172,166,0
Process-263,4,5239,5239,5252,8,13,5,0
Process-264,2,4384,4384,4429,4,45,41,0
Process-265,1,3602,3602,3774,5,172,167,0
Process-266,1,1644,1644,1776,6,132,126,0
Process-267,3,368,368,460,10,92,82,0
Process-268,2,2263,2263,2479,8,216,208,0
Process-269,3,1825,1825,1909,3,84,81,0
Process-270,3,3267,3267,3415,5,148,143,0
Process-271,2,3165,3165,3350,7,185,178,0
Process-272,1,1045,1045,1111,4,66,62,0
Process-273,3,1296,1296,1343,5,47,42,0
Process-274,4,1110,1110,1132,2,22,20,0
Process-275,3,3988,3988,4186,7,198,191,0
Process-276,5,4732,4732,4759,9,27,18,0
Process-277,3,886,886,921,3,35,32,0
Process-278,2,4897,4897,4964,10,67,57,0
Process-279,1,2296,2296,2535,9,239,230,0
Process-280,3,2728,2728,2757,1,29,28,0
Process-281,2,977,977,1055,6,78,72,0
Process-282,1,831,831,909,8,78,70,0
Process-283,1,1287,1287,1380,8,93,85,0
Process-284,4,1565,1565,1578,1,13,12,0
Process-285,1,4943,4943,4981,4,38,34,0
Process-286,2,1666,1666,1797,6,131,125,0
Process-287,4,16,16,25,9,9,0,0
Process-288,4,2576,2576,2799,8,223,215,0
Process-289,3,5244,5244,5254,2,10,8,0
Process-290,4,3196,3196,3222,1,26,25,0
Process-291,3,1985,1985,2015,1,30,29,0
Process-292,2,4186,4186,4291,4,105,101,0
Process-293,2,4486,4486,4514,2,28,26,0
Process-294,1,1124,1124,1187,8,63,55,0
Process-295,5,4915,4915,4954,5,39,34,0
Process-296,3,1598,1598,1707,6,109,103,0
Process-297,1,1037,1037,1130,7,93,86,0
Process-298,4,4015,4015,4050,1,35,34,0
Process-299,4,1953,1953,2198,10,245,235,0
Process-300,4,1634,1634,1820,8,186,178,0
Process-301,4,1505,1505,1563,4,58,54,0
Process-302,5,393,393,424,3,31,28,0
Process-303,3,410,410,469,5,59,54,0
Process-304,5,3944,3944,4209,9,265,256,0
Process-305,2,3968,3968,4003,1,35,34,0
Process-306,3,122,122,181,7,59,52,0
Process-307,1,2780,2780,2977,8,197,189,0
Process-308,2,791,791,859,9,68,59,0
Process-309,3,1489,1489,1540,4,51,47,0
Process-310,3,1020,1020,1049,2,29,27,0
Process-311,2,748,748,778,4,30,26,0
Process-312,4,3616,3616,3861,7,245,238,0
Process-313,3,21,21,62,9,41,32,0
Process-314,4,3113,3113,3400,10,287,277,0
Process-315,4,3587,3587,3930,9,343,334,0
Process-316,3,1266,1266,1338,9,72,63,0
Process-317,3,460,460,567,9,107,98,0
Process-318,3,3767,3767,3990,6,223,217,0
Process-319,2,2754,2754,2938,7,184,177,0
Process-320,2,1816,1816,1900,3,84,81,0
Process-321,3,4816,4816,4820,4,4,0,0
Process-322,3,3480,3480,3710,8,230,222,0
Process-323,3,3231,3231,3343,4,112,108,0
Process-324,4,763,763,797,4,34,30,0
Process-325,3,1505,1505,1545,3,40,37,0
Process-326,1,780,780,827,5,47,42,0
Process-327,3,5359,5359,5396,7,37,30,0
Process-328,5,5358,5358,5380,6,22,16,0
Process-329,1,917,917,1020,8,103,95,0
Process-330,1,3875,3875,4074,6,199,193,0
Process-331,4,4621,4621,4642,4,21,17,0
Process-332,5,3368,3368,3489,4,121,117,0
Process-333,1,5324,5324,5336,3,12,9,0
Process-334,4,1927,1927,2144,8,217,209,0
Process-335,3,55,55,63,1,8,7,0
Process-336,2,4143,4143,4175,1,32,31,0
Process-337,5,3682,3682,3757,2,75,73,0
Process-338,3,3418,3418,3453,1,35,34,0
Process-339,4,1253,1253,1284,4,31,27,0
Process-340,4,949,949,1064,9,115,106,0
Process-341,3,2457,2457,2631,7,174,167,0
Process-342,3,1280,1280,1306,3,26,23,0
Process-343,1,4051,4051,4223,6,172,166,0
Process-344,2,5197,5197,5229,6,32,26,0
Process-345,4,5229,5229,5244,5,15,10,0
Process-346,2,1994,1994,2047,2,53,51,0
Process-347,4,3198,3198,3289,3,91,88,0
Process-348,1,1869,1869,2107,9,238,229,0
Process-349,5,2407,2407,2606,8,199,191,0
Process-350,2,908,908,953,4,45,41,0
Process-351,2,477,477,531,5,54,49,0
Process-352,3,3228,3228,3452,8,224,216,0
Process-353,4,1402,1402,1483,6,81,75,0
Process-354,1,1680,1680,1770,4,90,86,0
Process-355,1,4899,4899,4977,10,78,68,0
Process-356,2,1968,1968,2125,6,157,151,0
Process-357,2,791,791,872,9,81,72,0
Process-358,5,761,761,822,7,61,54,0
Process-359,1,3567,3567,3718,5,151,146,0
Process-360,5,1638,1638,1654,1,16,15,0
Process-361,2,3352,3352,3562,7,210,203,0
Process-362,1,418,418,464,4,46,42,0
Process-363,3,3375,3375,3527,5,152,147,0
Process-364,3,1608,1608,1653,3,45,42,0
Process-365,3,880,880,901,2,21,19,0
Process-366,1,2930,2930,3109,8,179,171,0
Process-367,5,4827,4827,4828,1,1,0,0
Process-368,1,1545,1545,1677,8,132,124,0
Process-369,4,5081,5081,5137,8,56,48,0
Process-370,3,4994,4994,5073,6,79,73,0
Process-371,5,2223,2223,2278,2,55,53,0
Process-372,3,5482,5482,5501,9,19,10,0
Process-373,4,1792,1792,1874,3,82,79,0
Process-374,2,2630,2630,2744,4,114,110,0
Process-375,5,2029,2029,2206,7,177,170,0
Process-376,2,3722,3722,3914,5,192,187,0
Process-377,1,2969,2969,3067,4,98,94,0
Process-378,1,1638,1638,1766,6,128,122,0
Process-379,4,1480,1480,1589,9,109,100,0
Process-380,5,2466,2466,2566,4,100,96,0
Process-381,5,2167,2167,2364,8,197,189,0
Process-382,3,3364,3364,3456,3,92,89,0
Process-383,1,5244,5244,5260,4,16,12,0
Process-384,3,3175,3175,3234,2,59,57,0
Process-385,3,2208,2208,2281,3,73,70,0
Process-386,3,4616,4616,4638,4,22,18,0
Process-387,5,3386,3386,3604,8,218,210,0
Process-388,1,5166,5166,5174,1,8,7,0
Process-389,5,2404,2404,2573,7,169,162,0
Process-390,1,142,142,200,6,58,52,0
Process-391,2,4820,4820,4822,2,2,0,0
Process-392,2,2850,2850,2900,2,50,48,0
Process-393,2,3744,3744,3899,4,155,151,0
Process-394,5,5322,5322,5350,6,28,22,0
Process-395,2,4080,4080,4200,4,120,116,0
Process-396,2,3524,3524,3630,4,106,102,0
Process-397,4,3689,3689,3794,3,105,102,0
Process-398,4,4049,4049,4147,3,98,95,0
Process-399,3,1181,1181,1225,5,44,39,0
Process-400,4,3384,3384,3474,3,90,87,0
Process-401,2,1056,1056,1094,2,38,36,0
Process-402,3,3088,3088,3220,5,132,127,0
Process-403,2,568,568,602,3,34,31,0
Process-404,3,4047,4047,4156,4,109,105,0
Process-405,4,2124,2124,2222,4,98,94,0
Process-406,2,3682,3682,3909,6,227,221,0
Process-407,5,2282,2282,2412,5,130,125,0
Process-408,3,839,839,887,5,48,43,0
Process-409,1,5037,5037,5083,3,46,43,0
Process-410,5,1002,1002,1021,1,19,18,0
Process-411,5,636,636,646,10,10,0,0
