Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-212,1,3587,3587,3599,6,12,6,0
Process-213,1,2855,2855,2878,5,23,18,0
Process-214,3,589,589,595,3,6,3,0
Process-215,2,1912,1912,1918,5,6,1,0
Process-216,4,367,367,377,9,10,1,0
Process-217,2,2575,2575,2580,5,5,0,0
Process-218,4,3861,3861,3868,2,7,5,0
Process-219,1,1476,1476,1485,4,9,5,0
Process-220,5,3133,3133,3141,8,8,0,0
Process-221,2,3899,3899,3902,3,3,0,0
Process-222,3,5083,5083,5100,10,17,7,0
Process-223,3,293,293,295,2,2,0,0
Process-224,3,733,733,751,7,18,11,0
Process-225,4,4836,4836,4845,9,9,0,0
Process-226,2,4291,4291,4298,1,7,6,0
Process-227,1,4633,4633,4740,8,107,99,0
Process-228,5,5128,5128,5138,5,10,5,0
Process-229,1,2597,2597,2623,5,26,21,0
Process-230,1,3853,3853,3866,8,13,5,0
Process-231,1,629,629,635,6,6,0,0
Process-232,5,2992,2992,2996,4,4,0,0
Process-233,5,3812,3812,3819,1,7,6,0
Process-234,1,1737,1737,1743,6,6,0,0
Process-235,2,5331,5331,5354,8,23,15,0
Process-236,1,356,356,365,6,9,3,0
Process-237,3,255,255,261,6,6,0,0
Process-238,5,2331,2331,2342,10,11,1,0
Process-239,2,2228,2228,2288,5,60,55,0
Process-240,3,959,959,1006,9,47,38,0
Process-241,1,1603,1603,1648,7,45,38,0
Process-242,2,4146,4146,4178,9,32,23,0
Process-243,5,1278,1278,1279,1,1,0,0
Process-244,5,4427,4427,4431,3,4,1,0
Process-245,5,2304,2304,2307,1,3,2,0
Process-246,1,3948,3948,4127,5,179,174,0
Process-247,2,849,849,880,6,31,25,0
Process-248,1,3048,3048,3051,3,3,0,0
Process-249,2,44,44,88,8,44,36,0
Process-250,4,4605,4605,4608,2,3,1,0
Process-251,4,2903,2903,2915,1,12,11,0
Process-252,1,5010,5010,5019,9,9,0,0
Process-253,3,5011,5011,5026,7,15,8,0
Process-254,2,2466,2466,2523,4,57,53,0
Process-255,4,445,445,452,7,7,0,0
