Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-535,5,5187,5187,5199,4,12,8,3
Process-536,3,4369,4369,4370,1,1,0,0
Process-537,4,2276,2276,2284,8,8,0,7
Process-538,2,825,825,828,3,3,0,2
Process-539,1,1790,1790,1827,9,37,28,8
Process-540,4,2537,2537,2542,4,5,1,3
Process-541,1,1504,1504,1508,4,4,0,3
Process-542,5,3258,3258,3259,1,1,0,0
Process-543,3,1829,1829,1834,5,5,0,4
Process-544,2,3000,3000,3008,6,8,2,5
Process-545,3,71,71,74,3,3,0,2
Process-546,1,3148,3148,3155,5,7,2,4
Process-547,4,3314,3314,3324,9,10,1,8
Process-548,2,3987,3987,3995,8,8,0,7
Process-549,5,990,990,991,1,1,0,0
Process-550,2,1489,1489,1492,2,3,1,1
Process-551,1,4246,4246,4259,7,13,6,6
Process-552,1,3632,3632,3634,2,2,0,1
Process-553,4,2614,2614,2621,7,7,0,6
Process-554,5,746,746,766,7,20,13,6
Process-555,2,692,692,700,5,8,3,4
Process-556,2,3004,3004,3013,5,9,4,4
Process-557,1,4830,4830,4837,5,7,2,4
Process-558,5,5189,5189,5191,1,2,1,0
Process-559,4,1272,1272,1274,2,2,0,1
Process-560,5,559,559,568,9,9,0,8
Process-561,5,4032,4032,4039,4,7,3,3
Process-562,2,4728,4728,4732,4,4,0,3
Process-563,4,4136,4136,4169,9,33,24,8
Process-564,1,1064,1064,1067,3,3,0,2
Process-565,2,4768,4768,4771,3,3,0,2
Process-566,2,2932,2932,2939,4,7,3,3
Process-567,2,656,656,664,8,8,0,7
Process-568,4,4337,4337,4338,1,1,0,0
Process-569,1,5094,5094,5126,9,32,23,8
Process-570,2,2373,2373,2374,1,1,0,0
Process-571,3,4546,4546,4564,7,18,11,6
Process-572,2,2410,2410,2417,7,7,0,6
Process-573,4,3351,3351,3353,2,2,0,1
Process-574,1,426,426,434,5,8,3,4
Process-575,2,3920,3920,3922,2,2,0,1
Process-576,5,1808,1808,1818,6,10,4,5
Process-577,5,5088,5088,5117,7,29,22,6
Process-578,2,5374,5374,5379,5,5,0,4
Process-579,1,2992,2992,3023,10,31,21,9
Process-580,1,1032,1032,1036,4,4,0,3
Process-581,5,5262,5262,5265,3,3,0,2
Process-582,4,5341,5341,5348,7,7,0,6
Process-583,1,2003,2003,2009,6,6,0,5
Process-584,4,2314,2314,2321,6,7,1,5
Process-585,1,1799,1799,1843,9,44,35,8
Process-586,5,1555,1555,1558,3,3,0,2
Process-587,1,3388,3388,3389,1,1,0,0
